,seed,N,p_cts,p_bin,K,missing_mean,alpha_mean,K_model,mnar,algo,mnar_sparsity,n_sample,DZ,DP,DThetaX,time
0,0,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.7188387851563364,0.23056166989971166,0.0,1.4949147701263428
1,0,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.25577232505208286,0.17054748256672222,0.0,1.696561574935913
2,0,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.28117688987023753,0.15675527637702028,0.0,33.96766710281372
3,0,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.2565397649147394,0.15587919477716897,0.0,4.2474730014801025
4,1,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.4496573331367445,0.17654231417893584,0.0,1.5246875286102295
5,1,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.19785456076851218,0.1415273963721356,0.0,1.6561121940612793
6,1,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.22552192386521033,0.13533003995276688,0.0,33.85936951637268
7,1,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.20148552800200098,0.1349126294688929,0.0,4.013000726699829
8,2,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.9504323744447905,0.2895673769303757,0.0,1.5582096576690674
9,2,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.3098537978041311,0.209891305778352,0.0,1.6447229385375977
10,2,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.33080222253607966,0.1915905965887655,0.0,33.65400004386902
11,2,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.3060318352502349,0.19329832814832595,0.0,4.0277721881866455
12,3,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.7242768280391834,0.24928212938813357,0.0,1.5748765468597412
13,3,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.30639524836299636,0.18189492032069446,0.0,1.5074737071990967
14,3,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.3339942425566223,0.17882081574419673,0.0,33.518961906433105
15,3,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.30758827456683596,0.1761493553485935,0.0,4.02292275428772
16,4,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.6018364409355501,0.20695737400351452,0.0,1.5984606742858887
17,4,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.23682065253187737,0.14804448352857816,0.0,1.7226591110229492
18,4,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.2727230298402136,0.14651562947147842,0.0,33.38704204559326
19,4,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.23957427453240512,0.14730949830026227,0.0,4.049203157424927
20,5,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.656231410097767,0.23606857646799645,0.0,1.5371389389038086
21,5,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.27171934405839504,0.1742406363388387,0.0,1.6740798950195312
22,5,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.29297477385449694,0.16596074556571444,0.0,33.57285022735596
23,5,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.2730455802474693,0.16487336453989598,0.0,4.036772966384888
24,6,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.5801375266294688,0.22748588012370694,0.0,1.5349934101104736
25,6,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.2665005354493331,0.17178299562129118,0.0,1.701188087463379
26,6,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.29278762591816127,0.16218634643572605,0.0,33.620057344436646
27,6,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.2572416104420989,0.16291442974966747,0.0,4.026867389678955
28,7,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.4682513359222525,0.2013642097548976,0.0,1.5415308475494385
29,7,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.24232200009251217,0.1547229284892304,0.0,1.6861233711242676
30,7,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.2775595043330249,0.14432782927557541,0.0,33.62713265419006
31,7,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.23820406173240355,0.1430867699527096,0.0,4.317753076553345
32,8,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.9442001165721646,0.2370713716344651,0.0,1.5381734371185303
33,8,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.22915808254052678,0.16564049036623993,0.0,1.7271058559417725
34,8,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.2582584360769178,0.159546788440348,0.0,33.703174352645874
35,8,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.23393430370794238,0.15967507656150193,0.0,4.095099687576294
36,9,200,0,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.5268336853836936,0.19046452680311343,0.0,1.5429871082305908
37,9,200,0,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.22928763404066088,0.14080769991870684,0.0,1.6494550704956055
38,9,200,0,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.2551740964440495,0.13711032513061153,0.0,33.90020966529846
39,9,200,0,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.22812922960069237,0.1371295354746419,0.0,4.024929761886597
40,0,200,10,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.15114976763089832,0.13407461576427812,0.003352245407193298,2.0993266105651855
41,0,200,10,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.17883709012452506,0.1264188692799369,0.0036114208803627065,2.309548854827881
42,0,200,10,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.14632042833956482,0.12393113812475902,0.0036128909994409017,34.792460918426514
43,0,200,10,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.12344289010848798,0.11876721037940459,0.0032115123815519195,5.074384450912476
44,1,200,10,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.1409677762377479,0.10329047623798608,0.002888593458301019,2.444584369659424
45,1,200,10,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.15254370076427717,0.09939250980688971,0.0028795043383410225,2.5464470386505127
46,1,200,10,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.12842969498219145,0.098789735276391,0.002925958149800077,34.70561242103577
47,1,200,10,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.10764202968444962,0.09590772443589912,0.002654800456118565,5.18514609336853
48,2,200,10,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.18088909499532316,0.14720224667485787,0.004462155425349358,2.3922204971313477
49,2,200,10,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.19186883799143145,0.14067044431903378,0.004814432515304705,2.499480962753296
50,2,200,10,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.15246052678868088,0.13251289732989296,0.004504287552230113,34.94677400588989
51,2,200,10,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.1368339691888845,0.13056332564152454,0.0041841309580915205,5.014298439025879
52,3,200,10,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.1792281190233048,0.1312137902789973,0.0034802944846301243,2.4237122535705566
53,3,200,10,0,2,-10000.0,-1.85,2,False,MAP,0.0,0,0.16185654195842014,0.11931149656038771,0.0036394864202136585,2.269723653793335
54,3,200,10,0,2,-10000.0,-1.85,2,False,VIMC,0.0,0,0.14067412379253424,0.11605756937323762,0.003654419743800881,34.91533613204956
55,3,200,10,0,2,-10000.0,-1.85,2,False,ADVI,0.0,0,0.11928330511170795,0.109791228536859,0.00332592706542653,4.344424247741699
56,4,200,10,0,2,-10000.0,-1.85,2,False,MLE,0.0,0,0.15798739033078352,0.1193921211239552,0.0039303837734545755,2.393317461013794
